,number,value,datetime_start,datetime_complete,duration,params_beta,params_c_max,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0,3.548600196838379,2020-07-18 11:13:14.319218,2020-07-18 11:27:28.317344,0 days 00:14:13.998126000,31,1,3.2471470832824707,3.2547924518585205,COMPLETE
1,1,3.518364906311035,2020-07-18 11:27:28.318607,2020-07-18 11:41:33.933730,0 days 00:14:05.615123000,36,11,3.30946683883667,,COMPLETE
2,2,5.225678119108608e+16,2020-07-18 11:41:33.935101,2020-07-18 11:55:39.363027,0 days 00:14:05.427926000,11,16,,,COMPLETE
3,3,12727.373046875,2020-07-18 11:55:39.364285,2020-07-18 12:09:51.355514,0 days 00:14:11.991229000,6,6,11.344771385192871,31799.470703125,COMPLETE
4,4,3.8146233558654785,2020-07-18 12:09:51.356860,2020-07-18 12:24:03.860820,0 days 00:14:12.503960000,31,36,3.6962978839874268,,COMPLETE
5,5,5.8103814125061035,2020-07-18 12:24:03.862197,2020-07-18 12:27:20.647068,0 days 00:03:16.784871000,41,21,5.8103814125061035,,PRUNED
6,6,4.070225715637207,2020-07-18 12:27:20.858766,2020-07-18 12:30:37.953836,0 days 00:03:17.095070000,21,46,4.070225715637207,,PRUNED
7,7,5.076169013977051,2020-07-18 12:30:38.164159,2020-07-18 12:33:50.771839,0 days 00:03:12.607680000,41,36,5.076169013977051,,PRUNED
8,8,4.509992599487305,2020-07-18 12:33:50.992087,2020-07-18 12:48:03.921235,0 days 00:14:12.929148000,31,1,5.329822540283203,,COMPLETE
9,9,-67649.0859375,2020-07-18 12:48:03.922589,2020-07-18 12:51:19.872276,0 days 00:03:15.949687000,6,1,-67649.0859375,,PRUNED
10,10,8.704476356506348,2020-07-18 12:51:20.088513,2020-07-18 12:58:26.641071,0 days 00:07:06.552558000,11,41,12.852851867675781,8.704476356506348,PRUNED
11,11,-285.7386169433594,2020-07-18 12:58:26.945295,2020-07-18 13:01:40.794866,0 days 00:03:13.849571000,1,31,-285.7386169433594,,PRUNED
12,12,33.594295501708984,2020-07-18 13:01:41.085633,2020-07-18 13:08:47.760887,0 days 00:07:06.675254000,36,31,81.81053924560547,33.594295501708984,PRUNED
13,13,2.3889341354370117,2020-07-18 13:08:48.050761,2020-07-18 13:12:02.812669,0 days 00:03:14.761908000,36,36,2.3889341354370117,,PRUNED
14,14,4.963749408721924,2020-07-18 13:12:03.113943,2020-07-18 13:15:18.293243,0 days 00:03:15.179300000,16,11,4.963749408721924,,PRUNED
15,15,3.6980831623077393,2020-07-18 13:15:18.601906,2020-07-18 13:22:24.074355,0 days 00:07:05.472449000,36,11,3.6980831623077393,,PRUNED
16,16,6.275557994842529,2020-07-18 13:22:24.446104,2020-07-18 13:29:26.776223,0 days 00:07:02.330119000,31,1,8.640935897827148,6.275557994842529,PRUNED
17,17,3.496523141860962,2020-07-18 13:29:27.147796,2020-07-18 13:32:44.771239,0 days 00:03:17.623443000,26,11,3.496523141860962,,PRUNED
18,18,3.260756015777588,2020-07-18 13:32:45.063924,2020-07-18 13:39:48.377298,0 days 00:07:03.313374000,41,46,3.260756015777588,,PRUNED
19,19,2.777146339416504,2020-07-18 13:39:48.767544,2020-07-18 13:43:06.844915,0 days 00:03:18.077371000,21,11,2.777146339416504,,PRUNED
20,20,35.323482513427734,2020-07-18 13:43:07.150113,2020-07-18 13:57:19.334720,0 days 00:14:12.184607000,1,1,,,COMPLETE
21,21,252.30953979492188,2020-07-18 13:57:19.336014,2020-07-18 14:11:35.947853,0 days 00:14:16.611839000,1,1,25.745820999145508,572.520263671875,COMPLETE
22,22,25.55697250366211,2020-07-18 14:11:35.949383,2020-07-18 14:18:36.887133,0 days 00:07:00.937750000,1,16,27.82427215576172,25.55697250366211,PRUNED
23,23,7.5679144859313965,2020-07-18 14:18:37.380381,2020-07-18 14:21:50.742431,0 days 00:03:13.362050000,6,6,7.5679144859313965,,PRUNED
24,24,7.442303657531738,2020-07-18 14:21:51.076727,2020-07-18 14:25:09.119989,0 days 00:03:18.043262000,11,21,7.442303657531738,,PRUNED
25,25,2.938570022583008,2020-07-18 14:25:09.457464,2020-07-18 14:32:13.297315,0 days 00:07:03.839851000,41,11,2.938570022583008,,PRUNED
26,26,9.416129112243652,2020-07-18 14:32:13.771112,2020-07-18 14:46:35.875589,0 days 00:14:22.104477000,6,1,,,COMPLETE
27,27,3.7463274002075195,2020-07-18 14:46:35.876987,2020-07-18 15:00:53.576908,0 days 00:14:17.699921000,36,46,,,COMPLETE
28,28,3.919414758682251,2020-07-18 15:00:53.578666,2020-07-18 15:15:12.761083,0 days 00:14:19.182417000,26,16,,,COMPLETE
29,29,20.27385902404785,2020-07-18 15:15:12.762981,2020-07-18 15:22:15.697864,0 days 00:07:02.934883000,1,6,26.678817749023438,20.27385902404785,PRUNED
30,30,9.3996000289917,2020-07-18 15:22:16.116004,2020-07-18 15:29:21.178713,0 days 00:07:05.062709000,11,6,12.647957801818848,9.3996000289917,PRUNED
31,31,6.349347114562988,2020-07-18 15:29:21.684776,2020-07-18 15:32:38.524093,0 days 00:03:16.839317000,6,16,6.349347114562988,,PRUNED
32,32,15.119261741638184,2020-07-18 15:32:39.039543,2020-07-18 15:46:49.212957,0 days 00:14:10.173414000,6,36,24.333383560180664,,COMPLETE
33,33,6.318874359130859,2020-07-18 15:46:49.214693,2020-07-18 16:01:01.380616,0 days 00:14:12.165923000,11,11,,,COMPLETE
34,34,4.124357223510742,2020-07-18 16:01:01.382286,2020-07-18 16:04:17.724597,0 days 00:03:16.342311000,26,1,4.124357223510742,,PRUNED
35,35,5.197160243988037,2020-07-18 16:04:18.284852,2020-07-18 16:11:22.281127,0 days 00:07:03.996275000,31,6,5.197160243988037,,PRUNED
36,36,4.982330799102783,2020-07-18 16:11:22.940321,2020-07-18 16:14:36.022903,0 days 00:03:13.082582000,46,1,4.982330799102783,,PRUNED
