,number,value,datetime_start,datetime_complete,duration,params_lambda_dig,params_lambda_offdig,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,1525.4727783203125,2020-07-19 21:06:37.520438,2020-07-19 21:33:12.253750,0 days 00:26:34.733312000,41.0,21.0,1557.55810546875,,,COMPLETE
1,1,1833.1217041015625,2020-07-19 21:33:12.255030,2020-07-19 21:59:47.415443,0 days 00:26:35.160413000,5.0,1.0,1810.36181640625,1839.0845947265625,1842.2274169921875,COMPLETE
2,2,1721.2366943359375,2020-07-19 21:59:47.417192,2020-07-19 22:03:16.764235,0 days 00:03:29.347043000,37.0,3.0,1721.2366943359375,,,PRUNED
3,3,4536.95263671875,2020-07-19 22:03:16.976564,2020-07-19 22:30:05.577448,0 days 00:26:48.600884000,21.0,15.0,1946.2796630859375,4134.27734375,,COMPLETE
4,4,2055.09228515625,2020-07-19 22:30:05.579359,2020-07-19 22:46:42.713576,0 days 00:16:37.134217000,29.0,5.0,1991.404052734375,2055.09228515625,,PRUNED
5,5,2081.482177734375,2020-07-19 22:46:42.968518,2020-07-19 23:13:27.055330,0 days 00:26:44.086812000,49.0,23.0,2030.4891357421875,2078.338134765625,2071.619140625,COMPLETE
6,6,1625.3101806640625,2020-07-19 23:13:27.057063,2020-07-19 23:40:07.555831,0 days 00:26:40.498768000,45.0,25.0,1659.6781005859375,,,COMPLETE
7,7,2060.725830078125,2020-07-19 23:40:07.557608,2020-07-19 23:47:27.822653,0 days 00:07:20.265045000,25.0,17.0,2043.0123291015625,2060.725830078125,,PRUNED
8,8,3443.61767578125,2020-07-19 23:47:28.138034,2020-07-20 00:14:07.896508,0 days 00:26:39.758474000,11.0,25.0,3379.393798828125,3428.062255859375,3438.30908203125,COMPLETE
9,9,1620.0009765625,2020-07-20 00:14:07.898387,2020-07-20 00:17:38.517711,0 days 00:03:30.619324000,5.0,27.0,1620.0009765625,,,PRUNED
10,10,1796.2197265625,2020-07-20 00:17:38.807444,2020-07-20 00:21:10.889850,0 days 00:03:32.082406000,29.0,5.0,1796.2197265625,,,PRUNED
11,11,2332.480224609375,2020-07-20 00:21:11.195228,2020-07-20 00:37:53.293559,0 days 00:16:42.098331000,21.0,15.0,2586.29541015625,2332.480224609375,,PRUNED
12,12,2605.383544921875,2020-07-20 00:37:53.662562,2020-07-20 00:54:42.177181,0 days 00:16:48.514619000,19.0,29.0,2686.63330078125,2605.383544921875,,PRUNED
13,13,2062.024658203125,2020-07-20 00:54:42.542085,2020-07-20 01:02:08.569423,0 days 00:07:26.027338000,25.0,13.0,2062.024658203125,,,PRUNED
14,14,1406.740234375,2020-07-20 01:02:08.934297,2020-07-20 01:05:38.107908,0 days 00:03:29.173611000,29.0,27.0,1406.740234375,,,PRUNED
15,15,1854.3668212890625,2020-07-20 01:05:38.406024,2020-07-20 01:09:06.904608,0 days 00:03:28.498584000,49.0,23.0,1854.3668212890625,,,PRUNED
16,16,4267.97802734375,2020-07-20 01:09:07.209135,2020-07-20 01:35:58.460682,0 days 00:26:51.251547000,11.0,23.0,4259.39697265625,,,COMPLETE
17,17,1386.8802490234375,2020-07-20 01:35:58.462479,2020-07-20 01:39:30.049523,0 days 00:03:31.587044000,15.0,15.0,1386.8802490234375,,,PRUNED
18,18,12159019008.0,2020-07-20 01:39:30.361703,2020-07-20 02:06:00.369898,0 days 00:26:30.008195000,5.0,5.0,21146120192.0,,,COMPLETE
19,19,3046.55810546875,2020-07-20 02:06:00.371805,2020-07-20 02:22:37.796789,0 days 00:16:37.424984000,7.0,9.0,3046.55810546875,,,PRUNED
20,20,1959.146240234375,2020-07-20 02:22:38.240909,2020-07-20 02:26:01.164607,0 days 00:03:22.923698000,15.0,9.0,1959.146240234375,,,PRUNED
