,number,value,datetime_start,datetime_complete,duration,params_beta,params_c_max,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,39.30096,2020-08-14 17:16:19.028041,2020-08-14 20:58:39.218887,0 days 03:42:20.190846000,16,50,6.7113,19.12778,38.41785,COMPLETE
1,1,3.92636,2020-08-14 20:58:39.219802,2020-08-14 21:23:57.805606,0 days 00:25:18.585804000,18,25,3.92636,,,PRUNED
2,2,153.34859,2020-08-14 21:23:57.991167,2020-08-15 01:05:32.711934,0 days 03:41:34.720767000,20,15,443.25739,166.77251,,COMPLETE
3,3,15.63911,2020-08-15 01:05:32.712860,2020-08-15 04:47:24.931112,0 days 03:41:52.218252000,10,20,15.30839,,,COMPLETE
4,4,17.42356,2020-08-15 04:47:24.931996,2020-08-15 05:57:07.627537,0 days 01:09:42.695541000,20,45,17.42356,,,PRUNED
5,5,4.64234,2020-08-15 05:57:07.833597,2020-08-15 06:22:29.048967,0 days 00:25:21.215370000,18,30,4.64234,,,PRUNED
6,6,13.97182,2020-08-15 06:22:29.232729,2020-08-15 07:32:04.487407,0 days 01:09:35.254678000,20,35,13.97182,,,PRUNED
7,7,11.73089,2020-08-15 07:32:04.688266,2020-08-15 10:54:43.119955,0 days 03:22:38.431689000,8,15,11.73089,,,PRUNED
8,8,18.11981,2020-08-15 10:54:43.388353,2020-08-15 12:04:19.750290,0 days 01:09:36.361937000,2,45,18.11981,,,PRUNED
9,9,9.28931,2020-08-15 12:04:19.952263,2020-08-15 13:13:59.523578,0 days 01:09:39.571315000,20,25,7.39276,9.28931,,PRUNED
10,10,41.73924,2020-08-15 13:13:59.724848,2020-08-15 16:56:02.167531,0 days 03:42:02.442683000,16,50,40.85173,,,COMPLETE
11,11,4.78916,2020-08-15 16:56:02.168444,2020-08-15 17:21:26.166914,0 days 00:25:23.998470000,18,25,4.78916,,,PRUNED
12,12,3.42909,2020-08-15 17:21:26.351221,2020-08-15 18:31:04.198293,0 days 01:09:37.847072000,8,10,3.42909,,,PRUNED
13,13,16.50107,2020-08-15 18:31:04.399157,2020-08-15 19:40:40.798043,0 days 01:09:36.398886000,20,45,16.50107,,,PRUNED
14,14,16.80867,2020-08-15 19:40:40.998342,2020-08-15 20:50:17.755729,0 days 01:09:36.757387000,18,45,16.80867,,,PRUNED
15,15,6.968850970914631e+31,2020-08-15 20:50:17.959164,2020-08-16 00:32:22.865851,0 days 03:42:04.906687000,20,20,6.19453419636856e+32,2.230032310692682e+32,7.6370969544269935e+31,COMPLETE
16,16,5.60992,2020-08-16 00:32:22.866797,2020-08-16 00:57:44.458185,0 days 00:25:21.591388000,10,35,5.60992,,,PRUNED
17,17,2.53293,2020-08-16 00:57:44.645362,2020-08-16 01:23:06.627281,0 days 00:25:21.981919000,18,15,2.53293,,,PRUNED
18,18,9.81747,2020-08-16 01:23:06.812068,2020-08-16 02:32:49.982048,0 days 01:09:43.169980000,20,25,9.81747,,,PRUNED
19,19,187.69696,2020-08-16 02:32:50.181624,2020-08-16 06:14:59.402699,0 days 03:42:09.221075000,4,50,162.26016,188.94849,,COMPLETE
20,20,38.81791,2020-08-16 06:14:59.403660,2020-08-16 09:37:51.633013,0 days 03:22:52.229353000,16,50,38.81791,,,PRUNED
21,21,1.85824,2020-08-16 09:37:51.905130,2020-08-16 10:03:13.992865,0 days 00:25:22.087735000,18,10,1.85824,,,PRUNED
22,22,28.63625,2020-08-16 10:03:14.178395,2020-08-16 11:12:50.983822,0 days 01:09:36.805427000,14,45,48.4864,28.63625,,PRUNED
23,23,0.0,2020-08-16 11:12:51.185118,2020-08-16 11:38:13.406202,0 days 00:25:22.221084000,0,15,0.0,,,PRUNED
24,24,5.40692,2020-08-16 11:38:13.591956,2020-08-16 12:03:37.071806,0 days 00:25:23.479850000,12,50,5.40692,,,PRUNED
25,25,16.33885,2020-08-16 12:03:37.256196,2020-08-16 13:13:19.898903,0 days 01:09:42.642707000,4,40,6.93376,16.33885,,PRUNED
26,26,1.91377,2020-08-16 13:13:20.102798,2020-08-16 13:38:45.513144,0 days 00:25:25.410346000,14,5,1.91377,,,PRUNED
27,27,5.16349,2020-08-16 13:38:45.696888,2020-08-16 14:04:08.429985,0 days 00:25:22.733097000,6,15,5.16349,,,PRUNED
28,28,21.97076,2020-08-16 14:04:08.612845,2020-08-16 15:13:45.890659,0 days 01:09:37.277814000,14,50,18.86214,21.97076,,PRUNED
29,29,11.92149,2020-08-16 15:13:46.093585,2020-08-16 16:23:25.677166,0 days 01:09:39.583581000,2,30,11.92149,,,PRUNED
30,30,0.0,2020-08-16 16:23:25.878342,2020-08-16 16:48:49.491047,0 days 00:25:23.612705000,20,20,0.0,,,PRUNED
31,31,5.56842,2020-08-16 16:48:49.676696,2020-08-16 17:14:12.834204,0 days 00:25:23.157508000,16,40,5.56842,,,PRUNED
32,32,4.65164,2020-08-16 17:14:13.017664,2020-08-16 17:39:34.294374,0 days 00:25:21.276710000,10,30,4.65164,,,PRUNED
33,33,46.0082,2020-08-16 17:39:34.479298,2020-08-16 21:02:24.860019,0 days 03:22:50.380721000,8,20,49.83501,46.0082,,PRUNED
